Username,Email,Department,Employee Class,Title,Organization,Manager Name,User Status,AI Service (Normalized),AI Services,Total AI Services,Has AI Extensions Installed,Has AI Service License,Ai Service Event Count,Ai Service Connection Count,Ai Service File Upload Count,Ai Service Copy Paste Count,Ai Service PII Detection Count,Average Risk Score,Last Access Timestamp,Operating Systems,Endpoint Machine,AI Tool Vendor,AI Tool Category,AI Tool Region,AI Tool Data Location,Has BAA,Has DPA,Approved for Use,Risk Classification,Data Classification,Handles PHI,Handles PII,Handles Financial Data,Encryption Status,User Location,User Role,Access Level,Clearance Level,Training Completed,Last Certification Date,Consent Status,Data Retention Policy,Deletion Request Status,Sensitive Data Access Count,Policy Violations Count,Anomaly Flags,Incident Status,Vendor Risk Score,Vendor Assessment Date,SLA/SLO Status
achang,tammy76@customer.com,R&D,Vendor,Retail merchandiser,customer.com,Danielle Browning,Active,Gemini,"Gemini,Bing",2,False,False,495,122,5,37,1,50.5,2026-01-12T10:19:00.581139Z,Windows 10,Jg92-41157,Nvidia,Search,EU,EU-West,Yes,Yes,Restricted,Low,PII,False,True,False,Encrypted at Rest,US-NY,Finance,Privileged,Confidential,False,2025-06-06,,Indefinite,Pending,15,17,,,93,2026-01-20,At Risk
cheryl38,qgrimes@customer.com,IT,Vendor,Sports therapist,customer.com,Rachel Garrett,Suspended,Perplexity,Perplexity,1,False,True,97,145,3,15,1,80.3,2026-01-07T13:02:00.582041Z,macOS 13,Ko97-53513,Nvidia,Analytics,US,EU-West,Pending,Yes,Restricted,High,PII,False,True,False,Both,EU-DE,Clinical,Admin,Secret,True,2025-04-22,Withdrawn,90d,,47,1,Multiple Flags,Resolved,61,2026-01-20,Compliant
udavis,turnerkelly@customer.com,Security,Contractor,Sports development officer,customer.com,Lindsey Matthews,Inactive,ChatGPT,ChatGPT,1,False,False,267,60,3,43,4,82.5,2026-01-07T20:50:00.582906Z,macOS 14,sl71-96593,Anthropic,Chat Assistant,Global,US-East,Pending,Yes,Prohibited,Medium,Internal,False,False,False,Encrypted in Transit,US-MA,IT,Standard,Confidential,False,2025-04-03,Implied,1yr,Pending,15,3,Unusual Hours,Under Investigation,6,2026-01-20,Breach
salazardiane,daviskatherine@customer.com,Sales,Full-Time,Arboriculturist,customer.com,Sara Warren,Active,Perplexity,Perplexity,1,True,True,200,23,5,7,0,60.6,2026-01-15T09:22:00.583874Z,Windows 10,CF83-39694,Anthropic,Code Assistant,US,US-East,,Yes,Restricted,Critical,Internal,False,False,False,Encrypted at Rest,EU-NL,IT,Privileged,Top-Secret,True,2025-10-03,Explicit,Indefinite,Pending,10,19,,Breach,26,2026-01-20,At Risk
christopher91,megan30@customer.com,Legal,Vendor,Geoscientist,customer.com,Faith Cabrera,Inactive,Perplexity,"Perplexity,Claude,ChatGPT",3,True,True,175,135,4,7,4,92.1,2025-12-31T10:07:00.584502Z,macOS 14,Re12-30989,Meta,Analytics,Global,EU-West,,Pending,Under Review,Critical,PHI,True,True,False,Encrypted at Rest,US-NY,Clinical,Privileged,Confidential,True,2025-01-30,,1yr,Completed,73,11,Multiple Flags,Under Investigation,92,2026-01-20,At Risk
catherinejohnston,woodtina@customer.com,R&D,Vendor,Trading standards officer,customer.com,Karen Acosta,Active,Gemini,Gemini,1,True,False,81,61,3,40,3,37.9,2025-12-23T17:31:00.585232Z,macOS 14,eo00-86914,Microsoft,Analytics,APAC,US-East,No,,Approved,Medium,Financial,False,True,True,Encrypted in Transit,EU-DE,Exec,Admin,,True,2025-02-16,,1yr,Pending,119,1,Geo Anomaly,Under Investigation,71,2026-01-20,Breach
michael20,carlsonholly@customer.com,Security,Contractor,"Engineer, communications",customer.com,Tamara Jackson,Active,Perplexity,"Perplexity,Bing",2,False,True,109,3,0,43,4,61.2,2026-01-15T11:29:00.585948Z,Windows 11,hM30-22584,OpenAI,Search,EU,US-East,,,Approved,Critical,Confidential,False,False,False,,APAC-SG,Clinical,Privileged,Confidential,False,2026-01-12,Explicit,90d,Pending,4,1,,Under Investigation,88,2026-01-20,At Risk
alexandermaldonado,paul42@customer.com,Sales,Intern,"Administrator, charities/voluntary organisations",customer.com,Douglas Allen,Suspended,ChatGPT,"ChatGPT,Gemini,Bing",3,False,False,190,137,2,13,3,58.7,2026-01-21T10:58:00.586726Z,macOS 13,iT75-94599,OpenAI,Search,Global,US-East,Pending,Yes,Approved,Medium,Internal,False,False,False,Encrypted in Transit,EU-FR,IT,Privileged,Top-Secret,True,2025-05-20,Withdrawn,30d,Pending,187,7,,Resolved,23,2026-01-20,Breach
fpoole,hollymoore@customer.com,Security,Intern,Patent examiner,customer.com,Patricia Fletcher,Terminated,Copilot,"Copilot,Bing",2,True,True,287,123,7,21,2,12.4,2026-01-17T16:36:00.587582Z,macOS 14,FJ27-14278,Microsoft,Search,Global,US-West,No,,Approved,Critical,Public,False,False,False,Encrypted in Transit,EU-NL,Admin,Standard,Top-Secret,True,2025-09-11,Explicit,7yr,Completed,132,9,Geo Anomaly,Breach,75,2026-01-20,Breach
simpsonlarry,lambnancy@customer.com,Clinical,Vendor,Emergency planning/management officer,customer.com,Victoria Morales,Active,Claude,"Claude,Copilot",2,True,False,98,91,1,4,5,2.8,2026-01-05T00:19:00.588570Z,Windows 11,Ng65-03008,Microsoft,Analytics,APAC,EU-West,No,Yes,Under Review,High,Public,False,False,False,Encrypted in Transit,EU-DE,Finance,Privileged,Confidential,True,2025-04-03,,90d,Completed,103,20,Geo Anomaly,Breach,87,2026-01-20,At Risk
